1609459200000,28923.63000000,29600.00000000,28624.57000000,29331.69000000
1609545600000,29331.70000000,33300.00000000,28946.53000000,32178.33000000
1609632000000,32176.45000000,34778.11000000,31962.99000000,33000.05000000
1609718400000,33000.05000000,33600.00000000,28130.00000000,31988.71000000
1609804800000,31989.75000000,34360.00000000,29900.00000000,33949.53000000
1609891200000,33949.53000000,36939.21000000,33288.00000000,36769.36000000
1609977600000,36769.36000000,40365.00000000,36300.00000000,39432.28000000
1610064000000,39432.48000000,41950.00000000,36500.00000000,40582.81000000
1610150400000,40586.96000000,41380.00000000,38720.00000000,40088.22000000
1610236800000,40088.22000000,41350.00000000,35111.11000000,38150.02000000
1610323200000,38150.02000000,38264.74000000,30420.00000000,35404.47000000
1610409600000,35410.37000000,36628.00000000,32531.00000000,34051.24000000
1610496000000,34049.15000000,37850.00000000,32380.00000000,37371.38000000
1610582400000,37371.38000000,40100.00000000,36701.23000000,39144.50000000
1610668800000,39145.21000000,39747.76000000,34408.00000000,36742.22000000
1610755200000,36737.43000000,37950.00000000,35357.80000000,35994.98000000
1610841600000,35994.98000000,36852.50000000,33850.00000000,35828.61000000
1610928000000,35824.99000000,37469.83000000,34800.00000000,36631.27000000
1611014400000,36622.46000000,37850.00000000,35844.06000000,35891.49000000
1611100800000,35901.94000000,36415.31000000,33400.00000000,35468.23000000
1611187200000,35468.23000000,35600.00000000,30071.00000000,30850.13000000
1611273600000,30851.99000000,33826.53000000,28850.00000000,32945.17000000
1611360000000,32950.00000000,33456.00000000,31390.16000000,32078.00000000
1611446400000,32078.00000000,33071.00000000,30900.00000000,32259.90000000
1611532800000,32259.45000000,34875.00000000,31910.00000000,32254.20000000
1611619200000,32254.19000000,32921.88000000,30837.37000000,32467.77000000
1611705600000,32464.01000000,32557.29000000,29241.72000000,30366.15000000
1611792000000,30362.19000000,33783.98000000,29842.10000000,33364.86000000
1611878400000,33368.18000000,38531.90000000,31915.40000000,34252.20000000
1611964800000,34246.28000000,34933.00000000,32825.00000000,34262.88000000
1612051200000,34262.89000000,34342.69000000,32171.67000000,33092.98000000
1612137600000,33092.97000000,34717.27000000,32296.16000000,33526.37000000
1612224000000,33517.09000000,35984.33000000,33418.00000000,35466.24000000
1612310400000,35472.71000000,37662.63000000,35362.38000000,37618.87000000
1612396800000,37620.26000000,38708.27000000,36161.95000000,36936.66000000
1612483200000,36936.65000000,38310.12000000,36570.00000000,38290.24000000
1612569600000,38289.32000000,40955.51000000,38215.94000000,39186.94000000
1612656000000,39181.01000000,39700.00000000,37351.00000000,38795.69000000
1612742400000,38795.69000000,46794.45000000,37988.89000000,46374.87000000
1612828800000,46374.86000000,48142.19000000,44961.09000000,46420.42000000
1612915200000,46420.42000000,47310.00000000,43727.00000000,44807.58000000
1613001600000,44807.58000000,48678.90000000,43994.02000000,47969.51000000
1613088000000,47968.66000000,48985.80000000,46125.00000000,47287.60000000
1613174400000,47298.15000000,48150.00000000,46202.53000000,47153.69000000
1613260800000,47156.78000000,49707.43000000,47014.17000000,48577.79000000
1613347200000,48580.47000000,49010.92000000,45570.79000000,47911.10000000
1613433600000,47911.10000000,50689.18000000,47003.62000000,49133.45000000
1613520000000,49133.45000000,52618.74000000,48947.00000000,52119.71000000
1613606400000,52117.67000000,52530.00000000,50901.90000000,51552.60000000
1613692800000,51552.61000000,56368.00000000,50710.20000000,55906.00000000
1613779200000,55906.00000000,57700.46000000,53863.93000000,55841.19000000
1613865600000,55841.19000000,58352.80000000,55477.59000000,57408.57000000
1613952000000,57412.35000000,57508.47000000,47622.00000000,54087.67000000
1614038400000,54087.67000000,54183.59000000,44892.56000000,48891.00000000
1614124800000,48891.00000000,51374.99000000,46988.69000000,49676.20000000
1614211200000,49676.21000000,52041.73000000,46674.34000000,47073.73000000
1614297600000,47073.73000000,48424.11000000,44106.78000000,46276.87000000
1614384000000,46276.88000000,48394.00000000,45000.00000000,46106.43000000
1614470400000,46103.67000000,46638.46000000,43000.00000000,45135.66000000
1614556800000,45134.11000000,49790.00000000,44950.53000000,49587.03000000
1614643200000,49595.76000000,50200.00000000,47047.60000000,48440.65000000
1614729600000,48436.61000000,52640.00000000,48100.71000000,50349.37000000
1614816000000,50349.37000000,51773.88000000,47500.00000000,48374.09000000
1614902400000,48374.09000000,49448.93000000,46300.00000000,48751.71000000
1614988800000,48746.81000000,49200.00000000,47070.00000000,48882.20000000
1615075200000,48882.20000000,51450.03000000,48882.20000000,50971.75000000
1615161600000,50959.11000000,52402.78000000,49274.67000000,52375.17000000
1615248000000,52375.18000000,54895.00000000,51789.41000000,54884.50000000
1615334400000,54874.67000000,57387.69000000,53005.00000000,55851.59000000
1615420800000,55851.59000000,58150.00000000,54272.82000000,57773.16000000
1615507200000,57773.15000000,58081.51000000,54962.84000000,57221.72000000
1615593600000,57221.72000000,61844.00000000,56078.23000000,61188.39000000
1615680000000,61188.38000000,61724.79000000,58966.78000000,58968.31000000
1615766400000,58976.08000000,60633.43000000,54600.00000000,55605.20000000
1615852800000,55605.20000000,56938.29000000,53271.34000000,56900.75000000
1615939200000,56900.74000000,58974.73000000,54123.69000000,58912.97000000
1616025600000,58912.97000000,60129.97000000,57023.00000000,57648.16000000
1616112000000,57641.00000000,59468.00000000,56270.74000000,58030.01000000
1616198400000,58030.01000000,59880.00000000,57820.17000000,58102.28000000
1616284800000,58100.02000000,58589.10000000,55450.11000000,57351.56000000
1616371200000,57351.56000000,58430.73000000,53650.00000000,54083.25000000
1616457600000,54083.25000000,55830.90000000,53000.00000000,54340.89000000
